texto,categoria_original,cluster
computador,tecnologia,1
sistema de computador,tecnologia,4
computador sistema,tecnologia,4
plataforma de computador,tecnologia,3
computador plataforma,tecnologia,3
framework de computador,tecnologia,1
computador framework,tecnologia,1
aplicação de computador,tecnologia,3
computador aplicação,tecnologia,3
desenvolvimento de computador,tecnologia,3
computador desenvolvimento,tecnologia,3
arquitetura de computador,tecnologia,3
computador arquitetura,tecnologia,3
computador e python,tecnologia,1
computador e inteligência,tecnologia,3
computador e api,tecnologia,1
computador e segurança,tecnologia,6
software,tecnologia,1
sistema de software,tecnologia,4
software sistema,tecnologia,4
plataforma de software,tecnologia,3
software plataforma,tecnologia,1
framework de software,tecnologia,1
software framework,tecnologia,1
aplicação de software,tecnologia,3
software aplicação,tecnologia,3
desenvolvimento de software,tecnologia,3
software desenvolvimento,tecnologia,3
arquitetura de software,tecnologia,1
software arquitetura,tecnologia,1
software e desenvolvimento,tecnologia,3
software e devops,tecnologia,1
software e rede,tecnologia,1
software e segurança,tecnologia,3
software e servidor,tecnologia,1
internet,tecnologia,1
sistema de internet,tecnologia,4
internet sistema,tecnologia,4
plataforma de internet,tecnologia,1
internet plataforma,tecnologia,1
framework de internet,tecnologia,1
internet framework,tecnologia,1
aplicação de internet,tecnologia,1
internet aplicação,tecnologia,1
desenvolvimento de internet,tecnologia,1
internet desenvolvimento,tecnologia,1
arquitetura de internet,tecnologia,1
internet arquitetura,tecnologia,1
internet e frontend,tecnologia,1
internet e código,tecnologia,1
internet e learning,tecnologia,1
internet e api,tecnologia,1
internet e database,tecnologia,1
programação,tecnologia,3
sistema de programação,tecnologia,3
programação sistema,tecnologia,4
plataforma de programação,tecnologia,3
programação plataforma,tecnologia,3
framework de programação,tecnologia,3
programação framework,tecnologia,1
aplicação de programação,tecnologia,3
programação aplicação,tecnologia,3
desenvolvimento de programação,tecnologia,3
programação desenvolvimento,tecnologia,3
arquitetura de programação,tecnologia,3
programação arquitetura,tecnologia,3
programação e python,tecnologia,3
programação e learning,tecnologia,3
programação e software,tecnologia,3
programação e algoritmo,tecnologia,3
programação e artificial,tecnologia,3
dados,tecnologia,5
sistema de dados,tecnologia,4
dados sistema,tecnologia,4
plataforma de dados,tecnologia,0
dados plataforma,tecnologia,0
framework de dados,tecnologia,1
dados framework,tecnologia,1
aplicação de dados,tecnologia,0
dados aplicação,tecnologia,0
desenvolvimento de dados,tecnologia,0
dados desenvolvimento,tecnologia,0
arquitetura de dados,tecnologia,0
dados arquitetura,tecnologia,0
dados e devops,tecnologia,1
dados e learning,tecnologia,6
dados e backend,tecnologia,1
dados e cloud,tecnologia,1
algoritmo,tecnologia,5
sistema de algoritmo,tecnologia,4
algoritmo sistema,tecnologia,4
plataforma de algoritmo,tecnologia,0
algoritmo plataforma,tecnologia,0
framework de algoritmo,tecnologia,1
algoritmo framework,tecnologia,1
aplicação de algoritmo,tecnologia,8
algoritmo aplicação,tecnologia,8
desenvolvimento de algoritmo,tecnologia,8
algoritmo desenvolvimento,tecnologia,8
arquitetura de algoritmo,tecnologia,0
algoritmo arquitetura,tecnologia,0
algoritmo e python,tecnologia,1
algoritmo e dados,tecnologia,0
algoritmo e machine,tecnologia,1
algoritmo e rede,tecnologia,6
algoritmo e programação,tecnologia,3
rede,tecnologia,1
sistema de rede,tecnologia,4
rede sistema,tecnologia,4
plataforma de rede,tecnologia,6
rede plataforma,tecnologia,5
framework de rede,tecnologia,1
rede framework,tecnologia,1
aplicação de rede,tecnologia,6
rede aplicação,tecnologia,6
desenvolvimento de rede,tecnologia,6
rede desenvolvimento,tecnologia,8
arquitetura de rede,tecnologia,6
rede arquitetura,tecnologia,2
rede e machine,tecnologia,1
rede e código,tecnologia,6
rede e api,tecnologia,1
rede e segurança,tecnologia,6
rede e desenvolvimento,tecnologia,6
inteligência,tecnologia,8
sistema de inteligência,tecnologia,4
inteligência sistema,tecnologia,4
plataforma de inteligência,tecnologia,8
inteligência plataforma,tecnologia,8
framework de inteligência,tecnologia,1
inteligência framework,tecnologia,1
aplicação de inteligência,tecnologia,8
inteligência aplicação,tecnologia,8
desenvolvimento de inteligência,tecnologia,8
inteligência desenvolvimento,tecnologia,8
arquitetura de inteligência,tecnologia,8
inteligência arquitetura,tecnologia,8
inteligência e learning,tecnologia,8
inteligência e dados,tecnologia,6
inteligência e frontend,tecnologia,1
inteligência e computador,tecnologia,3
inteligência e internet,tecnologia,1
artificial,tecnologia,5
sistema de artificial,tecnologia,4
artificial sistema,tecnologia,4
plataforma de artificial,tecnologia,3
artificial plataforma,tecnologia,5
framework de artificial,tecnologia,1
artificial framework,tecnologia,1
aplicação de artificial,tecnologia,3
artificial aplicação,tecnologia,5
desenvolvimento de artificial,tecnologia,3
artificial desenvolvimento,tecnologia,3
arquitetura de artificial,tecnologia,3
artificial arquitetura,tecnologia,5
artificial e servidor,tecnologia,1
artificial e inteligência,tecnologia,8
artificial e python,tecnologia,1
artificial e database,tecnologia,1
artificial e devops,tecnologia,1
machine,tecnologia,1
sistema de machine,tecnologia,4
machine sistema,tecnologia,4
plataforma de machine,tecnologia,1
machine plataforma,tecnologia,1
framework de machine,tecnologia,1
machine framework,tecnologia,1
aplicação de machine,tecnologia,3
machine aplicação,tecnologia,3
desenvolvimento de machine,tecnologia,3
machine desenvolvimento,tecnologia,3
arquitetura de machine,tecnologia,1
machine arquitetura,tecnologia,1
machine e artificial,tecnologia,1
machine e cloud,tecnologia,1
machine e programação,tecnologia,3
machine e inteligência,tecnologia,1
learning,tecnologia,1
sistema de learning,tecnologia,4
learning sistema,tecnologia,4
plataforma de learning,tecnologia,3
learning plataforma,tecnologia,1
framework de learning,tecnologia,1
learning framework,tecnologia,1
aplicação de learning,tecnologia,8
learning aplicação,tecnologia,8
desenvolvimento de learning,tecnologia,8
learning desenvolvimento,tecnologia,8
arquitetura de learning,tecnologia,2
learning arquitetura,tecnologia,1
learning e computador,tecnologia,1
learning e machine,tecnologia,1
learning e desenvolvimento,tecnologia,8
learning e backend,tecnologia,1
python,tecnologia,1
sistema de python,tecnologia,4
python sistema,tecnologia,4
plataforma de python,tecnologia,1
python plataforma,tecnologia,1
framework de python,tecnologia,1
python framework,tecnologia,1
aplicação de python,tecnologia,1
python aplicação,tecnologia,5
desenvolvimento de python,tecnologia,1
python desenvolvimento,tecnologia,3
arquitetura de python,tecnologia,1
python arquitetura,tecnologia,1
python e servidor,tecnologia,1
python e devops,tecnologia,1
python e frontend,tecnologia,1
python e cloud,tecnologia,1
python e learning,tecnologia,1
código,tecnologia,5
sistema de código,tecnologia,4
código sistema,tecnologia,4
plataforma de código,tecnologia,2
código plataforma,tecnologia,5
framework de código,tecnologia,1
código framework,tecnologia,1
aplicação de código,tecnologia,5
código aplicação,tecnologia,5
desenvolvimento de código,tecnologia,8
código desenvolvimento,tecnologia,8
arquitetura de código,tecnologia,2
código arquitetura,tecnologia,5
código e devops,tecnologia,1
código e desenvolvimento,tecnologia,8
código e servidor,tecnologia,1
código e api,tecnologia,1
código e frontend,tecnologia,1
desenvolvimento,tecnologia,8
sistema de desenvolvimento,tecnologia,8
desenvolvimento sistema,tecnologia,4
plataforma de desenvolvimento,tecnologia,8
desenvolvimento plataforma,tecnologia,8
framework de desenvolvimento,tecnologia,8
desenvolvimento framework,tecnologia,8
aplicação de desenvolvimento,tecnologia,8
desenvolvimento aplicação,tecnologia,8
desenvolvimento de desenvolvimento,tecnologia,8
desenvolvimento desenvolvimento,tecnologia,8
arquitetura de desenvolvimento,tecnologia,8
desenvolvimento arquitetura,tecnologia,8
desenvolvimento e software,tecnologia,3
desenvolvimento e frontend,tecnologia,8
desenvolvimento e database,tecnologia,8
desenvolvimento e python,tecnologia,3
desenvolvimento e artificial,tecnologia,8
cloud,tecnologia,1
sistema de cloud,tecnologia,4
cloud sistema,tecnologia,4
plataforma de cloud,tecnologia,1
cloud plataforma,tecnologia,1
framework de cloud,tecnologia,1
cloud framework,tecnologia,1
aplicação de cloud,tecnologia,1
cloud aplicação,tecnologia,1
desenvolvimento de cloud,tecnologia,1
cloud desenvolvimento,tecnologia,1
arquitetura de cloud,tecnologia,1
cloud arquitetura,tecnologia,1
cloud e dados,tecnologia,1
cloud e desenvolvimento,tecnologia,8
cloud e rede,tecnologia,1
cloud e algoritmo,tecnologia,1
servidor,tecnologia,1
sistema de servidor,tecnologia,4
servidor sistema,tecnologia,4
plataforma de servidor,tecnologia,6
servidor plataforma,tecnologia,5
framework de servidor,tecnologia,1
servidor framework,tecnologia,1
aplicação de servidor,tecnologia,8
servidor aplicação,tecnologia,8
desenvolvimento de servidor,tecnologia,8
servidor desenvolvimento,tecnologia,8
arquitetura de servidor,tecnologia,2
servidor arquitetura,tecnologia,2
servidor e dados,tecnologia,6
servidor e inteligência,tecnologia,8
servidor e python,tecnologia,1
servidor e artificial,tecnologia,1
servidor e devops,tecnologia,1
database,tecnologia,1
sistema de database,tecnologia,4
database sistema,tecnologia,4
plataforma de database,tecnologia,1
database plataforma,tecnologia,1
framework de database,tecnologia,1
database framework,tecnologia,1
aplicação de database,tecnologia,1
database aplicação,tecnologia,1
desenvolvimento de database,tecnologia,8
database desenvolvimento,tecnologia,8
arquitetura de database,tecnologia,1
database arquitetura,tecnologia,1
database e python,tecnologia,1
database e computador,tecnologia,1
database e rede,tecnologia,1
database e software,tecnologia,1
database e algoritmo,tecnologia,1
api,tecnologia,1
sistema de api,tecnologia,4
api sistema,tecnologia,4
plataforma de api,tecnologia,1
api plataforma,tecnologia,1
framework de api,tecnologia,1
api framework,tecnologia,1
aplicação de api,tecnologia,1
api aplicação,tecnologia,1
desenvolvimento de api,tecnologia,1
api desenvolvimento,tecnologia,1
arquitetura de api,tecnologia,1
api arquitetura,tecnologia,1
api e algoritmo,tecnologia,1
api e python,tecnologia,1
api e inteligência,tecnologia,1
api e programação,tecnologia,1
frontend,tecnologia,1
sistema de frontend,tecnologia,4
frontend sistema,tecnologia,4
plataforma de frontend,tecnologia,1
frontend plataforma,tecnologia,1
framework de frontend,tecnologia,1
frontend framework,tecnologia,1
aplicação de frontend,tecnologia,1
frontend aplicação,tecnologia,1
desenvolvimento de frontend,tecnologia,1
frontend desenvolvimento,tecnologia,8
arquitetura de frontend,tecnologia,1
frontend arquitetura,tecnologia,1
frontend e rede,tecnologia,1
frontend e segurança,tecnologia,1
frontend e computador,tecnologia,1
frontend e inteligência,tecnologia,1
frontend e machine,tecnologia,1
backend,tecnologia,1
sistema de backend,tecnologia,4
backend sistema,tecnologia,4
plataforma de backend,tecnologia,1
backend plataforma,tecnologia,1
framework de backend,tecnologia,1
backend framework,tecnologia,1
aplicação de backend,tecnologia,1
backend aplicação,tecnologia,8
desenvolvimento de backend,tecnologia,1
backend desenvolvimento,tecnologia,8
arquitetura de backend,tecnologia,1
backend arquitetura,tecnologia,1
backend e computador,tecnologia,1
backend e segurança,tecnologia,6
backend e código,tecnologia,1
backend e rede,tecnologia,1
backend e machine,tecnologia,1
devops,tecnologia,1
sistema de devops,tecnologia,4
devops sistema,tecnologia,1
plataforma de devops,tecnologia,1
devops plataforma,tecnologia,1
framework de devops,tecnologia,1
devops framework,tecnologia,1
aplicação de devops,tecnologia,1
devops aplicação,tecnologia,1
desenvolvimento de devops,tecnologia,1
devops desenvolvimento,tecnologia,1
arquitetura de devops,tecnologia,1
devops arquitetura,tecnologia,1
devops e computador,tecnologia,1
devops e rede,tecnologia,1
devops e learning,tecnologia,1
devops e software,tecnologia,1
devops e inteligência,tecnologia,1
segurança,tecnologia,2
sistema de segurança,tecnologia,4
segurança sistema,tecnologia,4
plataforma de segurança,tecnologia,2
segurança plataforma,tecnologia,2
framework de segurança,tecnologia,1
segurança framework,tecnologia,1
aplicação de segurança,tecnologia,8
segurança aplicação,tecnologia,8
desenvolvimento de segurança,tecnologia,8
segurança desenvolvimento,tecnologia,8
arquitetura de segurança,tecnologia,2
segurança arquitetura,tecnologia,2
segurança e algoritmo,tecnologia,6
segurança e cloud,tecnologia,2
segurança e desenvolvimento,tecnologia,8
segurança e internet,tecnologia,6
segurança e servidor,tecnologia,6
física,ciencia,5
estudo de física,ciencia,6
física estudo,ciencia,6
análise de física,ciencia,6
física análise,ciencia,5
investigação de física,ciencia,8
física investigação,ciencia,8
descoberta de física,ciencia,0
física descoberta,ciencia,0
método de física,ciencia,0
física método,ciencia,0
processo de física,ciencia,3
física processo,ciencia,3
física e evolução,ciencia,6
física e energia,ciencia,6
física e laboratório,ciencia,6
física e hipótese,ciencia,6
química,ciencia,5
estudo de química,ciencia,6
química estudo,ciencia,6
análise de química,ciencia,5
química análise,ciencia,5
investigação de química,ciencia,8
química investigação,ciencia,8
descoberta de química,ciencia,0
química descoberta,ciencia,0
método de química,ciencia,0
química método,ciencia,0
processo de química,ciencia,3
química processo,ciencia,3
química e evolução,ciencia,6
química e laboratório,ciencia,6
química e matemática,ciencia,6
química e molécula,ciencia,6
química e física,ciencia,6
biologia,ciencia,5
estudo de biologia,ciencia,5
biologia estudo,ciencia,5
análise de biologia,ciencia,5
biologia análise,ciencia,5
investigação de biologia,ciencia,5
biologia investigação,ciencia,5
descoberta de biologia,ciencia,5
biologia descoberta,ciencia,5
método de biologia,ciencia,5
biologia método,ciencia,5
processo de biologia,ciencia,3
biologia processo,ciencia,3
biologia e aceleração,ciencia,5
biologia e genética,ciencia,5
biologia e molécula,ciencia,5
biologia e pesquisa,ciencia,5
biologia e hipótese,ciencia,5
matemática,ciencia,5
estudo de matemática,ciencia,6
matemática estudo,ciencia,6
análise de matemática,ciencia,5
matemática análise,ciencia,5
investigação de matemática,ciencia,8
matemática investigação,ciencia,8
descoberta de matemática,ciencia,0
matemática descoberta,ciencia,5
método de matemática,ciencia,0
matemática método,ciencia,0
processo de matemática,ciencia,3
matemática processo,ciencia,3
matemática e física,ciencia,6
matemática e aceleração,ciencia,6
matemática e experimento,ciencia,6
matemática e laboratório,ciencia,6
matemática e massa,ciencia,6
astronomia,ciencia,5
estudo de astronomia,ciencia,6
astronomia estudo,ciencia,5
análise de astronomia,ciencia,5
astronomia análise,ciencia,5
investigação de astronomia,ciencia,5
astronomia investigação,ciencia,5
descoberta de astronomia,ciencia,5
astronomia descoberta,ciencia,5
método de astronomia,ciencia,0
astronomia método,ciencia,5
processo de astronomia,ciencia,3
astronomia processo,ciencia,3
astronomia e química,ciencia,5
astronomia e aceleração,ciencia,6
astronomia e laboratório,ciencia,6
astronomia e energia,ciencia,6
astronomia e pesquisa,ciencia,6
genética,ciencia,5
estudo de genética,ciencia,6
genética estudo,ciencia,6
análise de genética,ciencia,5
genética análise,ciencia,5
investigação de genética,ciencia,5
genética investigação,ciencia,5
descoberta de genética,ciencia,5
genética descoberta,ciencia,5
método de genética,ciencia,0
genética método,ciencia,5
processo de genética,ciencia,3
genética processo,ciencia,3
genética e astronomia,ciencia,5
genética e molécula,ciencia,5
genética e teoria,ciencia,6
genética e pesquisa,ciencia,6
genética e velocidade,ciencia,6
evolução,ciencia,6
estudo de evolução,ciencia,6
evolução estudo,ciencia,6
análise de evolução,ciencia,6
evolução análise,ciencia,6
investigação de evolução,ciencia,8
evolução investigação,ciencia,8
descoberta de evolução,ciencia,6
evolução descoberta,ciencia,6
método de evolução,ciencia,0
evolução método,ciencia,0
processo de evolução,ciencia,3
evolução processo,ciencia,3
evolução e pesquisa,ciencia,6
evolução e teoria,ciencia,6
evolução e experimento,ciencia,6
evolução e força,ciencia,6
evolução e massa,ciencia,6
átomo,ciencia,5
estudo de átomo,ciencia,6
átomo estudo,ciencia,6
análise de átomo,ciencia,6
átomo análise,ciencia,3
investigação de átomo,ciencia,8
átomo investigação,ciencia,8
descoberta de átomo,ciencia,0
átomo descoberta,ciencia,0
método de átomo,ciencia,0
átomo método,ciencia,0
processo de átomo,ciencia,3
átomo processo,ciencia,3
átomo e energia,ciencia,6
átomo e experimento,ciencia,6
átomo e biologia,ciencia,5
átomo e laboratório,ciencia,6
átomo e física,ciencia,6
molécula,ciencia,5
estudo de molécula,ciencia,6
molécula estudo,ciencia,6
análise de molécula,ciencia,5
molécula análise,ciencia,5
investigação de molécula,ciencia,8
molécula investigação,ciencia,8
descoberta de molécula,ciencia,0
molécula descoberta,ciencia,5
método de molécula,ciencia,0
molécula método,ciencia,0
processo de molécula,ciencia,3
molécula processo,ciencia,3
molécula e experimento,ciencia,6
molécula e genética,ciencia,5
molécula e teoria,ciencia,6
molécula e massa,ciencia,6
molécula e força,ciencia,5
célula,ciencia,2
estudo de célula,ciencia,6
célula estudo,ciencia,6
análise de célula,ciencia,2
célula análise,ciencia,5
investigação de célula,ciencia,8
célula investigação,ciencia,8
descoberta de célula,ciencia,2
célula descoberta,ciencia,2
método de célula,ciencia,0
célula método,ciencia,0
processo de célula,ciencia,3
célula processo,ciencia,3
célula e experimento,ciencia,6
célula e evolução,ciencia,6
célula e massa,ciencia,6
célula e matemática,ciencia,6
energia,ciencia,5
estudo de energia,ciencia,6
energia estudo,ciencia,6
análise de energia,ciencia,8
energia análise,ciencia,5
investigação de energia,ciencia,8
energia investigação,ciencia,8
descoberta de energia,ciencia,6
energia descoberta,ciencia,6
método de energia,ciencia,0
energia método,ciencia,0
processo de energia,ciencia,3
energia processo,ciencia,3
energia e física,ciencia,6
energia e biologia,ciencia,5
energia e molécula,ciencia,6
energia e célula,ciencia,6
energia e matemática,ciencia,6
força,ciencia,5
estudo de força,ciencia,6
força estudo,ciencia,6
análise de força,ciencia,5
força análise,ciencia,5
investigação de força,ciencia,8
força investigação,ciencia,8
descoberta de força,ciencia,0
força descoberta,ciencia,0
método de força,ciencia,0
força método,ciencia,0
processo de força,ciencia,3
força processo,ciencia,3
força e experimento,ciencia,6
força e energia,ciencia,6
força e astronomia,ciencia,5
força e célula,ciencia,6
massa,ciencia,5
estudo de massa,ciencia,6
massa estudo,ciencia,6
análise de massa,ciencia,6
massa análise,ciencia,5
investigação de massa,ciencia,8
massa investigação,ciencia,8
descoberta de massa,ciencia,0
massa descoberta,ciencia,0
método de massa,ciencia,0
massa método,ciencia,0
processo de massa,ciencia,3
massa processo,ciencia,3
massa e experimento,ciencia,6
massa e evolução,ciencia,6
massa e biologia,ciencia,5
massa e molécula,ciencia,6
massa e aceleração,ciencia,6
velocidade,ciencia,6
estudo de velocidade,ciencia,6
velocidade estudo,ciencia,6
análise de velocidade,ciencia,8
velocidade análise,ciencia,8
investigação de velocidade,ciencia,8
velocidade investigação,ciencia,8
descoberta de velocidade,ciencia,0
velocidade descoberta,ciencia,0
método de velocidade,ciencia,0
velocidade método,ciencia,0
processo de velocidade,ciencia,3
velocidade processo,ciencia,3
velocidade e célula,ciencia,6
velocidade e química,ciencia,6
velocidade e laboratório,ciencia,6
velocidade e energia,ciencia,6
velocidade e hipótese,ciencia,6
aceleração,ciencia,0
estudo de aceleração,ciencia,6
aceleração estudo,ciencia,6
análise de aceleração,ciencia,6
aceleração análise,ciencia,3
investigação de aceleração,ciencia,8
aceleração investigação,ciencia,8
descoberta de aceleração,ciencia,0
aceleração descoberta,ciencia,0
método de aceleração,ciencia,0
aceleração método,ciencia,0
processo de aceleração,ciencia,3
aceleração processo,ciencia,3
aceleração e pesquisa,ciencia,6
aceleração e matemática,ciencia,6
aceleração e biologia,ciencia,5
aceleração e teoria,ciencia,6
aceleração e energia,ciencia,6
teoria,ciencia,7
estudo de teoria,ciencia,6
teoria estudo,ciencia,6
análise de teoria,ciencia,7
teoria análise,ciencia,7
investigação de teoria,ciencia,8
teoria investigação,ciencia,8
descoberta de teoria,ciencia,7
teoria descoberta,ciencia,7
método de teoria,ciencia,0
teoria método,ciencia,0
processo de teoria,ciencia,3
teoria processo,ciencia,3
teoria e evolução,ciencia,6
teoria e laboratório,ciencia,6
teoria e célula,ciencia,6
teoria e física,ciencia,6
teoria e matemática,ciencia,6
hipótese,ciencia,5
estudo de hipótese,ciencia,6
hipótese estudo,ciencia,6
análise de hipótese,ciencia,5
hipótese análise,ciencia,5
investigação de hipótese,ciencia,5
hipótese investigação,ciencia,5
descoberta de hipótese,ciencia,2
hipótese descoberta,ciencia,5
método de hipótese,ciencia,0
hipótese método,ciencia,5
processo de hipótese,ciencia,3
hipótese processo,ciencia,3
hipótese e evolução,ciencia,6
hipótese e biologia,ciencia,5
hipótese e célula,ciencia,6
hipótese e astronomia,ciencia,5
experimento,ciencia,0
estudo de experimento,ciencia,6
experimento estudo,ciencia,6
análise de experimento,ciencia,3
experimento análise,ciencia,3
investigação de experimento,ciencia,8
experimento investigação,ciencia,8
descoberta de experimento,ciencia,6
experimento descoberta,ciencia,0
método de experimento,ciencia,0
experimento método,ciencia,0
processo de experimento,ciencia,3
experimento processo,ciencia,3
experimento e pesquisa,ciencia,6
experimento e genética,ciencia,6
experimento e física,ciencia,6
experimento e teoria,ciencia,6
experimento e laboratório,ciencia,6
laboratório,ciencia,0
estudo de laboratório,ciencia,6
laboratório estudo,ciencia,6
análise de laboratório,ciencia,3
laboratório análise,ciencia,3
investigação de laboratório,ciencia,8
laboratório investigação,ciencia,8
descoberta de laboratório,ciencia,0
laboratório descoberta,ciencia,0
método de laboratório,ciencia,0
laboratório método,ciencia,0
processo de laboratório,ciencia,3
laboratório processo,ciencia,3
laboratório e biologia,ciencia,5
laboratório e experimento,ciencia,6
laboratório e pesquisa,ciencia,6
laboratório e velocidade,ciencia,6
laboratório e energia,ciencia,6
pesquisa,ciencia,2
estudo de pesquisa,ciencia,6
pesquisa estudo,ciencia,6
análise de pesquisa,ciencia,6
pesquisa análise,ciencia,5
investigação de pesquisa,ciencia,8
pesquisa investigação,ciencia,8
descoberta de pesquisa,ciencia,0
pesquisa descoberta,ciencia,0
método de pesquisa,ciencia,0
pesquisa método,ciencia,0
processo de pesquisa,ciencia,3
pesquisa processo,ciencia,3
pesquisa e experimento,ciencia,6
pesquisa e átomo,ciencia,6
pesquisa e força,ciencia,6
pesquisa e energia,ciencia,6
pintura,arte,5
movimento de pintura,arte,0
pintura movimento,arte,0
estilo de pintura,arte,2
pintura estilo,arte,2
técnica de pintura,arte,7
pintura técnica,arte,7
composição de pintura,arte,0
pintura composição,arte,0
forma de pintura,arte,2
pintura forma,arte,2
cor de pintura,arte,2
pintura cor,arte,2
pintura e teatro,arte,2
pintura e poesia,arte,2
pintura e cinema,arte,2
pintura e artista,arte,2
música,arte,2
movimento de música,arte,2
música movimento,arte,2
estilo de música,arte,2
música estilo,arte,2
técnica de música,arte,7
música técnica,arte,7
composição de música,arte,0
música composição,arte,0
forma de música,arte,2
música forma,arte,2
cor de música,arte,2
música cor,arte,2
música e exposição,arte,2
música e arte,arte,2
música e fotografia,arte,2
música e performance,arte,2
música e galeria,arte,2
dança,arte,2
movimento de dança,arte,0
dança movimento,arte,0
estilo de dança,arte,2
dança estilo,arte,2
técnica de dança,arte,7
dança técnica,arte,7
composição de dança,arte,0
dança composição,arte,0
forma de dança,arte,2
dança forma,arte,2
cor de dança,arte,2
dança cor,arte,2
dança e literatura,arte,2
dança e cinema,arte,2
dança e galeria,arte,6
dança e exposição,arte,6
dança e escultura,arte,6
teatro,arte,2
movimento de teatro,arte,2
teatro movimento,arte,2
estilo de teatro,arte,2
teatro estilo,arte,2
técnica de teatro,arte,7
teatro técnica,arte,7
composição de teatro,arte,2
teatro composição,arte,2
forma de teatro,arte,2
teatro forma,arte,2
cor de teatro,arte,2
teatro cor,arte,2
teatro e pintura,arte,2
teatro e arte,arte,2
teatro e performance,arte,2
teatro e galeria,arte,2
teatro e museu,arte,2
cinema,arte,2
movimento de cinema,arte,2
cinema movimento,arte,2
estilo de cinema,arte,2
cinema estilo,arte,2
técnica de cinema,arte,7
cinema técnica,arte,7
composição de cinema,arte,0
cinema composição,arte,0
forma de cinema,arte,2
cinema forma,arte,2
cor de cinema,arte,2
cinema cor,arte,2
cinema e museu,arte,2
cinema e poesia,arte,2
cinema e escultura,arte,2
cinema e artista,arte,2
literatura,arte,2
movimento de literatura,arte,2
literatura movimento,arte,0
estilo de literatura,arte,2
literatura estilo,arte,2
técnica de literatura,arte,7
literatura técnica,arte,7
composição de literatura,arte,8
literatura composição,arte,0
forma de literatura,arte,2
literatura forma,arte,2
cor de literatura,arte,2
literatura cor,arte,2
literatura e obra,arte,2
literatura e instalação,arte,3
literatura e poesia,arte,2
literatura e cultura,arte,2
literatura e arte,arte,2
poesia,arte,2
movimento de poesia,arte,0
poesia movimento,arte,0
estilo de poesia,arte,2
poesia estilo,arte,2
técnica de poesia,arte,7
poesia técnica,arte,7
composição de poesia,arte,0
poesia composição,arte,0
forma de poesia,arte,2
poesia forma,arte,2
cor de poesia,arte,2
poesia cor,arte,2
poesia e artista,arte,2
poesia e escultura,arte,2
poesia e teatro,arte,2
poesia e performance,arte,2
poesia e cinema,arte,2
escultura,arte,2
movimento de escultura,arte,6
escultura movimento,arte,0
estilo de escultura,arte,2
escultura estilo,arte,2
técnica de escultura,arte,7
escultura técnica,arte,7
composição de escultura,arte,6
escultura composição,arte,6
forma de escultura,arte,2
escultura forma,arte,2
cor de escultura,arte,2
escultura cor,arte,2
escultura e pintura,arte,6
escultura e criatividade,arte,8
escultura e cinema,arte,2
escultura e obra,arte,6
escultura e galeria,arte,6
fotografia,arte,2
movimento de fotografia,arte,2
fotografia movimento,arte,2
estilo de fotografia,arte,2
fotografia estilo,arte,2
técnica de fotografia,arte,7
fotografia técnica,arte,7
composição de fotografia,arte,2
fotografia composição,arte,2
forma de fotografia,arte,2
fotografia forma,arte,2
cor de fotografia,arte,2
fotografia cor,arte,2
fotografia e pintura,arte,2
fotografia e dança,arte,2
fotografia e literatura,arte,2
fotografia e exposição,arte,2
fotografia e expressão,arte,2
arte,arte,2
movimento de arte,arte,2
arte movimento,arte,2
estilo de arte,arte,2
arte estilo,arte,2
técnica de arte,arte,7
arte técnica,arte,7
composição de arte,arte,0
arte composição,arte,0
forma de arte,arte,2
arte forma,arte,2
cor de arte,arte,2
arte cor,arte,2
arte e fotografia,arte,2
arte e teatro,arte,2
arte e literatura,arte,2
arte e performance,arte,2
cultura,arte,5
movimento de cultura,arte,0
cultura movimento,arte,0
estilo de cultura,arte,2
cultura estilo,arte,2
técnica de cultura,arte,7
cultura técnica,arte,7
composição de cultura,arte,0
cultura composição,arte,0
forma de cultura,arte,2
cultura forma,arte,5
cor de cultura,arte,2
cultura cor,arte,5
cultura e exposição,arte,6
cultura e instalação,arte,6
cultura e dança,arte,2
cultura e teatro,arte,2
criatividade,arte,8
movimento de criatividade,arte,8
criatividade movimento,arte,8
estilo de criatividade,arte,8
criatividade estilo,arte,8
técnica de criatividade,arte,8
criatividade técnica,arte,7
